品种代码,品种名称,纳入日期
601799,星宇股份,2021-06-15
603806,福斯特,2021-06-15
600132,重庆啤酒,2021-06-15
000800,一汽解放,2021-06-15
600521,华海药业,2021-06-15
300677,英科医疗,2021-06-15
300558,贝达药业,2021-06-15
688126,沪硅产业,2021-06-15
688169,石头科技,2021-06-15
601995,中金公司,2021-06-15
603338,浙江鼎力,2021-06-15
603517,绝味食品,2021-06-15
300450,先导智能,2021-06-15
603233,大参林,2021-06-15
688111,金山办公,2021-06-15
603882,金域医学,2021-06-15
300274,阳光电源,2021-06-15
688363,华熙生物,2021-06-15
603939,益丰药房,2021-06-15
300595,欧普康视,2021-06-15
603659,璞泰来,2021-06-15
688396,华润微,2021-06-15
600143,金发科技,2021-06-15
600426,华鲁恒升,2021-06-15
600079,人福医药,2021-06-15
600584,长电科技,2020-12-14
600763,通策医疗,2020-12-14
002384,东山精密,2020-12-14
688012,中微公司,2020-12-14
600600,青岛啤酒,2020-12-14
002049,紫光国微,2020-12-14
002414,高德红外,2020-12-14
601872,招商轮船,2020-12-14
603087,甘李药业,2020-12-14
603195,公牛集团,2020-12-14
688009,中国通号,2020-12-14
603392,万泰生物,2020-12-14
688036,传音控股,2020-12-14
002600,领益智造,2020-12-14
600872,中炬高新,2020-12-14
688012,中微公司,2020-12-14
603195,公牛集团,2020-12-14
002812,恩捷股份,2020-12-14
688008,澜起科技,2020-12-14
600918,中泰证券,2020-12-14
603392,万泰生物,2020-12-14
603087,甘李药业,2020-12-14
688009,中国通号,2020-12-14
002821,凯莱英,2020-12-14
002414,高德红外,2020-12-14
600161,天坛生物,2020-12-14
601816,京沪高铁,2020-06-15
601100,恒立液压,2020-06-15
000977,浪潮信息,2020-06-15
601231,环旭电子,2020-06-15
600745,闻泰科技,2020-06-15
002463,沪电股份,2020-06-15
002157,正邦科技,2020-06-15
002129,中环股份,2020-06-15
603369,今世缘,2020-06-15
000860,顺鑫农业,2020-06-15
000708,中信特钢,2020-06-15
002371,北方华创,2020-06-15
300601,康泰生物,2020-06-15
300014,亿纬锂能,2020-06-15
003816,中国广核,2020-06-15
