,报告日期,同类型排名-每日近三月排名,总排名-每日近三月排名
0,2013-01-04,51,189
1,2013-01-07,51,190
2,2013-01-08,52,190
3,2013-01-09,54,190
4,2013-01-10,53,190
5,2013-01-11,53,190
6,2013-01-14,54,190
7,2013-01-15,54,190
8,2013-01-16,53,190
9,2013-01-17,52,190
10,2013-01-18,52,190
11,2013-01-21,56,190
12,2013-01-22,61,190
13,2013-01-23,59,190
14,2013-01-24,55,190
15,2013-01-25,58,191
16,2013-01-28,57,191
17,2013-01-29,54,191
18,2013-01-30,55,191
19,2013-01-31,55,191
20,2013-02-01,55,191
21,2013-02-04,51,191
22,2013-02-05,51,191
23,2013-02-06,49,191
24,2013-02-07,51,191
25,2013-02-08,51,191
26,2013-02-18,50,191
27,2013-02-19,48,191
28,2013-02-20,50,191
29,2013-02-21,56,191
30,2013-02-22,53,191
31,2013-02-25,61,191
32,2013-02-26,70,191
33,2013-02-27,78,191
34,2013-02-28,74,191
35,2013-03-01,82,191
36,2013-03-04,87,191
37,2013-03-05,84,191
38,2013-03-06,85,191
39,2013-03-07,94,191
40,2013-03-08,95,191
41,2013-03-11,92,192
42,2013-03-12,90,192
43,2013-03-13,87,192
44,2013-03-14,90,192
45,2013-03-15,87,192
46,2013-03-18,94,192
47,2013-03-19,95,192
48,2013-03-20,95,192
49,2013-03-21,94,192
50,2013-03-22,95,192
51,2013-03-25,89,193
52,2013-03-26,92,193
53,2013-03-27,99,193
54,2013-03-28,102,193
55,2013-03-29,96,193
56,2013-04-01,102,193
57,2013-04-02,105,193
58,2013-04-03,104,193
59,2013-04-08,107,193
60,2013-04-09,103,193
61,2013-04-10,99,193
62,2013-04-11,97,193
63,2013-04-12,97,193
64,2013-04-15,97,193
65,2013-04-16,97,193
66,2013-04-17,99,193
67,2013-04-18,95,193
68,2013-04-19,96,193
69,2013-04-22,93,193
70,2013-04-23,93,193
71,2013-04-24,92,193
72,2013-04-25,92,193
73,2013-04-26,93,193
74,2013-05-02,107,193
75,2013-05-03,106,193
76,2013-05-06,113,197
77,2013-05-07,116,198
78,2013-05-08,108,198
79,2013-05-09,110,198
80,2013-05-10,109,198
81,2013-05-13,110,198
82,2013-05-14,112,198
83,2013-05-15,113,198
84,2013-05-16,111,198
85,2013-05-17,108,198
86,2013-05-20,106,198
87,2013-05-21,102,198
88,2013-05-22,105,198
89,2013-05-23,103,198
90,2013-05-24,101,198
91,2013-05-27,103,198
92,2013-05-28,106,198
93,2013-05-29,103,198
94,2013-05-30,105,198
95,2013-05-31,104,198
96,2013-06-03,102,198
97,2013-06-04,106,198
98,2013-06-05,109,198
99,2013-06-06,110,199
100,2013-06-07,105,199
101,2013-06-13,100,200
102,2013-06-14,103,200
103,2013-06-17,105,200
104,2013-06-18,103,200
105,2013-06-19,103,200
106,2013-06-20,109,200
107,2013-06-21,106,200
108,2013-06-24,107,202
109,2013-06-25,107,202
110,2013-06-26,106,202
111,2013-06-27,107,202
112,2013-06-28,111,208
113,2013-07-01,109,209
114,2013-07-02,110,209
115,2013-07-03,109,209
116,2013-07-04,109,209
117,2013-07-05,109,209
118,2013-07-08,107,209
119,2013-07-09,110,209
120,2013-07-10,108,209
121,2013-07-11,106,210
122,2013-07-12,109,210
123,2013-07-15,105,210
124,2013-07-16,105,210
