日期,时间,开盘,最高,最低,收盘,成交量,持仓量,结算价
2021/02/01,0935,5355.0,5366.4,5345.4,5346.4,5530,79622,0.0
2021/02/01,0940,5346.2,5386.0,5345.4,5385.6,4879,76947,0.0
2021/02/01,0945,5385.6,5387.8,5374.0,5379.4,2768,75620,0.0
2021/02/01,0950,5376.0,5378.6,5365.0,5374.8,2561,74435,0.0
2021/02/01,0955,5375.2,5382.0,5368.4,5369.2,1470,73649,0.0
2021/02/01,1000,5369.2,5370.0,5361.4,5368.2,1883,72721,0.0
2021/02/01,1005,5368.4,5391.4,5368.4,5387.2,3108,71314,0.0
2021/02/01,1010,5388.0,5390.6,5380.8,5385.0,1558,70598,0.0
2021/02/01,1015,5384.8,5389.6,5378.6,5386.8,1438,70223,0.0
2021/02/01,1020,5386.8,5387.6,5372.2,5383.0,1712,69683,0.0
2021/02/01,1025,5382.6,5393.0,5378.4,5379.8,1498,69275,0.0
2021/02/01,1030,5379.8,5380.6,5370.8,5374.0,1270,69034,0.0
2021/02/01,1035,5372.6,5380.0,5365.2,5365.4,1736,68638,0.0
2021/02/01,1040,5365.6,5368.2,5352.8,5366.8,2273,68196,0.0
2021/02/01,1045,5366.8,5372.8,5359.0,5367.0,1249,68018,0.0
2021/02/01,1050,5366.4,5370.8,5355.6,5359.8,951,67836,0.0
2021/02/01,1055,5360.0,5369.6,5357.2,5360.6,1060,67648,0.0
2021/02/01,1100,5361.4,5366.0,5353.8,5363.8,1746,67507,0.0
2021/02/01,1105,5364.4,5366.8,5360.6,5365.0,915,67422,0.0
2021/02/01,1110,5364.4,5369.2,5359.8,5367.0,839,67290,0.0
2021/02/01,1115,5367.2,5373.0,5357.2,5371.6,869,67274,0.0
2021/02/01,1120,5371.0,5373.0,5361.6,5366.4,880,67203,0.0
2021/02/01,1125,5366.6,5374.8,5366.2,5374.0,1155,67103,0.0
2021/02/01,1130,5374.8,5376.0,5372.6,5374.8,814,67101,0.0
2021/02/01,1305,5376.2,5394.8,5376.2,5390.0,2607,67074,0.0
2021/02/01,1310,5389.8,5393.2,5381.4,5389.8,1326,66964,0.0
2021/02/01,1315,5390.2,5402.0,5390.2,5401.2,2145,66637,0.0
2021/02/01,1320,5401.0,5401.4,5395.4,5399.8,1139,66572,0.0
2021/02/01,1325,5399.8,5408.6,5398.8,5404.2,1715,66564,0.0
2021/02/01,1330,5404.4,5405.2,5397.8,5398.6,1065,66711,0.0
2021/02/01,1335,5398.6,5406.2,5392.4,5405.4,1364,66707,0.0
2021/02/01,1340,5405.6,5406.2,5395.2,5396.4,926,66732,0.0
2021/02/01,1345,5396.8,5403.2,5395.0,5397.2,845,66796,0.0
2021/02/01,1350,5397.2,5403.4,5397.2,5399.8,948,66786,0.0
2021/02/01,1355,5399.8,5402.8,5388.4,5393.6,1770,66954,0.0
2021/02/01,1400,5393.6,5400.2,5393.6,5400.2,633,67050,0.0
