,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2021-02-02,2092.93,2125.71,2130.7,2082.81,34582,7372233472.0,2.29,1.71,35.68,0.28
1,2021-02-03,2130.71,2170.62,2178.98,2120.71,38714,8384049408.0,2.74,2.11,44.91,0.31
2,2021-02-04,2171.71,2301.56,2310.71,2171.71,63851,14596930304.0,6.4,6.03,130.94,0.51
3,2021-02-05,2305.71,2293.71,2345.31,2271.71,39729,9253566208.0,3.2,-0.34,-7.85,0.32
4,2021-02-08,2317.71,2349.51,2359.59,2293.71,35786,8420758528.0,2.87,2.43,55.8,0.28
5,2021-02-09,2349.51,2437.14,2437.14,2330.71,33297,7972930048.0,4.53,3.73,87.63,0.27
6,2021-02-10,2465.71,2581.71,2581.91,2465.71,61371,15675929600.0,4.77,5.93,144.57,0.49
7,2021-02-18,2568.69,2451.71,2608.59,2445.71,65912,16704135168.0,6.31,-5.04,-130.0,0.52
8,2021-02-19,2431.87,2440.71,2477.37,2362.31,59385,14525164544.0,4.69,-0.45,-11.0,0.47
9,2021-02-22,2435.71,2268.73,2435.71,2258.93,78935,18498777344.0,7.24,-7.05,-171.98,0.63
10,2021-02-23,2245.85,2287.71,2325.6,2245.71,57455,13316110848.0,3.52,0.84,18.98,0.46
11,2021-02-24,2288.7,2169.71,2298.71,2141.21,82116,18195034368.0,6.88,-5.16,-118.0,0.65
12,2021-02-25,2189.71,2130.71,2205.21,2101.92,59726,12982145792.0,4.76,-1.8,-39.0,0.48
13,2021-02-26,2080.71,2103.49,2160.66,2048.01,66525,14097015552.0,5.29,-1.28,-27.22,0.53
14,2021-03-01,2159.71,2138.71,2159.71,2100.71,44916,9686945536.0,2.8,1.67,35.22,0.36
15,2021-03-02,2160.71,2038.71,2160.71,2013.71,70765,14796698624.0,6.87,-4.68,-100.0,0.56
16,2021-03-03,2020.71,2120.71,2130.48,2013.71,54215,11366685440.0,5.73,4.02,82.0,0.43
17,2021-03-04,2075.71,2013.71,2076.71,1990.81,65088,13297304320.0,4.05,-5.05,-107.0,0.52
18,2021-03-05,1980.71,2040.82,2075.71,1968.71,63779,13100315904.0,5.31,1.35,27.11,0.51
19,2021-03-08,2055.67,1940.71,2065.71,1940.71,63100,12724246016.0,6.12,-4.91,-100.11,0.5
20,2021-03-09,1935.71,1917.7,1980.71,1880.89,82266,16100769536.0,5.14,-1.19,-23.01,0.65
21,2021-03-10,1957.71,1950.72,1980.58,1947.71,51172,10136910336.0,1.71,1.72,33.02,0.41
22,2021-03-11,1955.71,2028.71,2060.7,1942.19,56769,11521736448.0,6.08,4.0,77.99,0.45
23,2021-03-12,2050.71,2006.71,2057.71,1982.72,40323,8181594624.0,3.7,-1.08,-22.0,0.32
24,2021-03-15,2030.71,1956.16,2050.51,1931.86,62485,12459955712.0,5.91,-2.52,-50.55,0.5
25,2021-03-16,1955.64,1991.21,2000.7,1945.71,34649,6918600704.0,2.81,1.79,35.05,0.28
26,2021-03-17,1980.71,2011.07,2030.71,1956.72,31375,6352656640.0,3.72,1.0,19.86,0.25
27,2021-03-18,2015.71,2050.41,2067.07,2015.71,33865,6997030400.0,2.55,1.96,39.34,0.27
28,2021-03-19,2015.71,1990.71,2023.71,1972.94,35781,7211521792.0,2.48,-2.91,-59.7,0.28
29,2021-03-22,1980.81,1970.7,2006.8,1936.26,36914,7323391232.0,3.54,-1.01,-20.01,0.29
30,2021-03-23,1979.59,1976.71,1989.51,1950.71,27446,5459520768.0,1.97,0.3,6.01,0.22
