,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态
0,2021-11-05,4.9206,1.9963,-0.53,场内买入,场内卖出
1,2021-11-04,4.9470,2.0061,0.98,场内买入,场内卖出
2,2021-11-03,4.8992,1.9884,-0.37,场内买入,场内卖出
3,2021-11-02,4.9175,1.9952,-1.04,场内买入,场内卖出
4,2021-11-01,4.9694,2.0144,-0.36,场内买入,场内卖出
5,2021-10-29,4.9875,2.0211,0.92,场内买入,场内卖出
6,2021-10-28,4.9419,2.0042,-0.69,场内买入,场内卖出
7,2021-10-27,4.9761,2.0169,-1.32,场内买入,场内卖出
8,2021-10-26,5.0425,2.0415,-0.33,场内买入,场内卖出
9,2021-10-25,5.0594,2.0478,0.43,场内买入,场内卖出
10,2021-10-22,5.0375,2.0397,0.67,场内买入,场内卖出
11,2021-10-21,5.0039,2.0272,0.35,场内买入,场内卖出
12,2021-10-20,4.9862,2.0206,-0.26,场内买入,场内卖出
13,2021-10-19,4.9992,2.0255,1.00,场内买入,场内卖出
14,2021-10-18,4.9499,2.0072,-1.18,场内买入,场内卖出
15,2021-10-15,5.0090,2.0291,0.40,场内买入,场内卖出
16,2021-10-14,4.9892,2.0217,-0.53,场内买入,场内卖出
17,2021-10-13,5.0160,2.0317,1.16,场内买入,场内卖出
18,2021-10-12,4.9586,2.0104,-1.09,场内买入,场内卖出
19,2021-10-11,5.0131,2.0306,0.13,场内买入,场内卖出
20,2021-10-08,5.0068,2.0283,1.29,场内买入,场内卖出
21,2021-09-30,4.9431,2.0046,0.66,场内买入,场内卖出
22,2021-09-29,4.9108,1.9927,-1.01,场内买入,场内卖出
23,2021-09-28,4.9610,2.0113,0.13,场内买入,场内卖出
24,2021-09-27,4.9544,2.0088,0.55,场内买入,场内卖出
25,2021-09-24,4.9274,1.9988,-0.06,场内买入,场内卖出
26,2021-09-23,4.9306,2.0000,0.65,场内买入,场内卖出
27,2021-09-22,4.8989,1.9883,-0.70,场内买入,场内卖出
28,2021-09-17,4.9335,2.0011,1.01,场内买入,场内卖出
29,2021-09-16,4.8843,1.9828,-1.20,场内买入,场内卖出
30,2021-09-15,4.9438,2.0049,-1.02,场内买入,场内卖出
31,2021-09-14,4.9946,2.0238,-1.48,场内买入,场内卖出
32,2021-09-13,5.0694,2.0515,-0.46,场内买入,场内卖出
33,2021-09-10,5.0926,2.0601,0.90,场内买入,场内卖出
34,2021-09-09,5.0473,2.0433,-0.05,场内买入,场内卖出
35,2021-09-08,5.0499,2.0443,-0.42,场内买入,场内卖出
36,2021-09-07,5.0710,2.0521,1.20,场内买入,场内卖出
37,2021-09-06,5.0110,2.0298,1.87,场内买入,场内卖出
38,2021-09-03,4.9189,1.9957,-0.53,场内买入,场内卖出
39,2021-09-02,4.9453,2.0055,-0.01,场内买入,场内卖出
40,2021-09-01,4.9460,2.0057,1.34,场内买入,场内卖出
41,2021-08-31,4.8807,1.9815,-0.14,场内买入,场内卖出
42,2021-08-30,4.8877,1.9841,-0.32,场内买入,场内卖出
43,2021-08-27,4.9032,1.9898,0.53,场内买入,场内卖出
44,2021-08-26,4.8775,1.9803,-1.95,场内买入,场内卖出
45,2021-08-25,4.9746,2.0163,0.20,场内买入,场内卖出
46,2021-08-24,4.9646,2.0126,1.09,场内买入,场内卖出
47,2021-08-23,4.9113,1.9929,1.48,场内买入,场内卖出
48,2021-08-20,4.8395,1.9662,-1.87,场内买入,场内卖出
49,2021-08-19,4.9315,2.0003,-0.65,场内买入,场内卖出
50,2021-08-18,4.9636,2.0123,1.17,场内买入,场内卖出
51,2021-08-17,4.9064,1.9910,-2.09,场内买入,场内卖出
52,2021-08-16,5.0111,2.0299,-0.08,场内买入,场内卖出
53,2021-08-13,5.0149,2.0313,-0.54,场内买入,场内卖出
54,2021-08-12,5.0420,2.0413,-0.84,场内买入,场内卖出
55,2021-08-11,5.0846,2.0571,-0.54,场内买入,场内卖出
56,2021-08-10,5.1124,2.0674,1.15,场内买入,场内卖出
57,2021-08-09,5.0543,2.0459,1.30,场内买入,场内卖出
58,2021-08-06,4.9896,2.0219,-0.54,场内买入,场内卖出
59,2021-08-05,5.0165,2.0319,-0.60,场内买入,场内卖出
60,2021-08-04,5.0467,2.0431,0.89,场内买入,场内卖出
61,2021-08-03,5.0022,2.0266,0.01,场内买入,场内卖出
62,2021-08-02,5.0016,2.0263,2.54,场内买入,场内卖出
63,2021-07-30,4.8776,1.9804,-0.77,场内买入,场内卖出
64,2021-07-29,4.9154,1.9944,1.89,场内买入,场内卖出
65,2021-07-28,4.8244,1.9606,0.18,场内买入,场内卖出
66,2021-07-27,4.8157,1.9574,-3.48,场内买入,场内卖出
67,2021-07-26,4.9893,2.0218,-3.22,场内买入,场内卖出
68,2021-07-23,5.1552,2.0833,-1.20,场内买入,场内卖出
69,2021-07-22,5.2179,2.1066,0.16,场内买入,场内卖出
70,2021-07-21,5.2095,2.1035,0.73,场内买入,场内卖出
71,2021-07-20,5.1719,2.0895,-0.08,场内买入,场内卖出
72,2021-07-19,5.1760,2.0910,0.36,场内买入,场内卖出
73,2021-07-16,5.1576,2.0842,-1.03,场内买入,场内卖出
74,2021-07-15,5.2111,2.1041,1.35,场内买入,场内卖出
75,2021-07-14,5.1415,2.0782,-1.15,场内买入,场内卖出
76,2021-07-13,5.2012,2.1004,0.30,场内买入,场内卖出
77,2021-07-12,5.1856,2.0946,1.26,场内买入,场内卖出
78,2021-07-09,5.1209,2.0706,-0.28,场内买入,场内卖出
79,2021-07-08,5.1353,2.0759,-0.99,场内买入,场内卖出
80,2021-07-07,5.1864,2.0949,1.17,场内买入,场内卖出
81,2021-07-06,5.1266,2.0727,0.02,场内买入,场内卖出
82,2021-07-05,5.1255,2.0723,0.09,场内买入,场内卖出
83,2021-07-02,5.1211,2.0707,-2.82,场内买入,场内卖出
84,2021-07-01,5.2695,2.1257,0.09,场内买入,场内卖出
85,2021-06-30,5.2646,2.1239,0.69,场内买入,场内卖出
86,2021-06-29,5.2287,2.1106,-1.10,场内买入,场内卖出
87,2021-06-28,5.2869,2.1322,0.22,场内买入,场内卖出
88,2021-06-25,5.2755,2.1280,1.70,场内买入,场内卖出
89,2021-06-24,5.1872,2.0952,0.19,场内买入,场内卖出
90,2021-06-23,5.1775,2.0916,0.52,场内买入,场内卖出
91,2021-06-22,5.1509,2.0817,0.63,场内买入,场内卖出
92,2021-06-21,5.1189,2.0699,-0.25,场内买入,场内卖出
93,2021-06-18,5.1316,2.0746,0.05,场内买入,场内卖出
94,2021-06-17,5.1288,2.0735,0.47,场内买入,场内卖出
95,2021-06-16,5.1047,2.0646,-1.63,场内买入,场内卖出
96,2021-06-15,5.1892,2.0959,-1.12,场内买入,场内卖出
97,2021-06-11,5.2481,2.1178,-0.81,场内买入,场内卖出
98,2021-06-10,5.2908,2.1336,0.69,场内买入,场内卖出
99,2021-06-09,5.2546,2.1202,0.11,场内买入,场内卖出
100,2021-06-08,5.2488,2.1180,-0.86,场内买入,场内卖出
101,2021-06-07,5.2943,2.1349,-0.06,场内买入,场内卖出
102,2021-06-04,5.2977,2.1362,0.55,场内买入,场内卖出
103,2021-06-03,5.2687,2.1254,-0.64,场内买入,场内卖出
104,2021-06-02,5.3025,2.1380,-0.93,场内买入,场内卖出
105,2021-06-01,5.3521,2.1564,0.20,场内买入,场内卖出
106,2021-05-31,5.3416,2.1525,0.20,场内买入,场内卖出
107,2021-05-28,5.3308,2.1485,-0.31,场内买入,场内卖出
108,2021-05-27,5.3473,2.1546,0.33,场内买入,场内卖出
109,2021-05-26,5.3298,2.1481,0.03,场内买入,场内卖出
110,2021-05-25,5.3281,2.1475,3.16,场内买入,场内卖出
111,2021-05-24,5.1647,2.0868,0.41,场内买入,场内卖出
112,2021-05-21,5.1436,2.0790,-1.00,场内买入,场内卖出
113,2021-05-20,5.1955,2.0983,0.28,场内买入,场内卖出
114,2021-05-19,5.1809,2.0929,-0.28,场内买入,场内卖出
115,2021-05-18,5.1953,2.0982,0.04,场内买入,场内卖出
116,2021-05-17,5.1933,2.0975,1.46,场内买入,场内卖出
117,2021-05-14,5.1185,2.0697,2.37,场内买入,场内卖出
118,2021-05-13,5.0001,2.0258,-1.02,场内买入,场内卖出
119,2021-05-12,5.0515,2.0449,0.43,场内买入,场内卖出
120,2021-05-11,5.0297,2.0368,0.62,场内买入,场内卖出
121,2021-05-10,4.9988,2.0253,-0.08,场内买入,场内卖出
122,2021-05-07,5.0029,2.0268,-1.28,场内买入,场内卖出
123,2021-05-06,5.0679,2.0509,-1.22,场内买入,场内卖出
124,2021-04-30,5.1303,2.0741,-0.79,场内买入,场内卖出
125,2021-04-29,5.1710,2.0892,0.89,场内买入,场内卖出
126,2021-04-28,5.1254,2.0723,0.56,场内买入,场内卖出
127,2021-04-27,5.0969,2.0617,0.26,场内买入,场内卖出
128,2021-04-26,5.0839,2.0569,-1.12,场内买入,场内卖出
129,2021-04-23,5.1414,2.0782,0.93,场内买入,场内卖出
130,2021-04-22,5.0939,2.0606,-0.12,场内买入,场内卖出
131,2021-04-21,5.0998,2.0628,0.30,场内买入,场内卖出
132,2021-04-20,5.0847,2.0572,-0.07,场内买入,场内卖出
133,2021-04-19,5.0881,2.0584,2.43,场内买入,场内卖出
134,2021-04-16,4.9675,2.0137,0.35,场内买入,场内卖出
135,2021-04-15,4.9501,2.0072,-0.64,场内买入,场内卖出
136,2021-04-14,4.9818,2.0190,0.82,场内买入,场内卖出
137,2021-04-13,4.9411,2.0039,-0.17,场内买入,场内卖出
138,2021-04-12,4.9493,2.0069,-1.73,场内买入,场内卖出
139,2021-04-09,5.0365,2.0393,-1.49,场内买入,场内卖出
140,2021-04-08,5.1129,2.0676,0.17,场内买入,场内卖出
141,2021-04-07,5.1040,2.0643,-0.72,场内买入,场内卖出
142,2021-04-06,5.1409,2.0780,-0.41,场内买入,场内卖出
143,2021-04-02,5.1623,2.0860,0.99,场内买入,场内卖出
144,2021-04-01,5.1117,2.0672,1.24,场内买入,场内卖出
145,2021-03-31,5.0489,2.0439,-0.90,场内买入,场内卖出
146,2021-03-30,5.0950,2.0610,0.94,场内买入,场内卖出
147,2021-03-29,5.0477,2.0434,0.16,场内买入,场内卖出
148,2021-03-26,5.0394,2.0404,2.26,场内买入,场内卖出
149,2021-03-25,4.9280,1.9990,-0.04,场内买入,场内卖出
150,2021-03-24,4.9302,1.9999,-1.58,场内买入,场内卖出
151,2021-03-23,5.0096,2.0293,-0.94,场内买入,场内卖出
152,2021-03-22,5.0573,2.0470,1.01,场内买入,场内卖出
153,2021-03-19,5.0067,2.0282,-2.62,场内买入,场内卖出
154,2021-03-18,5.1416,2.0783,0.79,场内买入,场内卖出
155,2021-03-17,5.1012,2.0633,0.42,场内买入,场内卖出
156,2021-03-16,5.0797,2.0553,0.87,场内买入,场内卖出
157,2021-03-15,5.0359,2.0391,-2.15,场内买入,场内卖出
158,2021-03-12,5.1466,2.0801,0.35,场内买入,场内卖出
159,2021-03-11,5.1285,2.0734,2.46,场内买入,场内卖出
160,2021-03-10,5.0052,2.0277,0.65,场内买入,场内卖出
161,2021-03-09,4.9731,2.0158,-2.13,场内买入,场内卖出
162,2021-03-08,5.0815,2.0560,-3.47,场内买入,场内卖出
163,2021-03-05,5.2644,2.1238,-0.32,场内买入,场内卖出
164,2021-03-04,5.2814,2.1301,-3.13,场内买入,场内卖出
165,2021-03-03,5.4520,2.1934,1.92,场内买入,场内卖出
166,2021-03-02,5.3495,2.1554,-1.28,场内买入,场内卖出
167,2021-03-01,5.4191,2.1812,1.51,场内买入,场内卖出
168,2021-02-26,5.3384,2.1513,-2.41,场内买入,场内卖出
