,date,code,open,high,low,close,preclose,volume,amount,pctChg
0,2012-01-04,sh.000300,2361.4990,2365.9880,2298.2980,2298.7530,2345.7420,3434456700,32572551267.0000,-2.003162
1,2012-01-05,sh.000300,2290.7800,2316.6570,2272.1530,2276.3850,2298.7530,4301648000,37635272074.0000,-0.973046
2,2012-01-06,sh.000300,2274.3520,2291.8850,2254.5670,2290.6010,2276.3850,3519899200,31079362325.0000,0.624502
3,2012-01-09,sh.000300,2291.1820,2368.8890,2271.7170,2368.5700,2290.6010,5472734100,51478126954.0000,3.403866
4,2012-01-10,sh.000300,2365.7680,2449.9550,2361.2810,2447.3490,2368.5700,8115498900,75249157103.0000,3.326017
5,2012-01-11,sh.000300,2444.7570,2453.1460,2423.3220,2435.6080,2447.3490,5870567400,57587219272.0000,-0.479752
6,2012-01-12,sh.000300,2426.8200,2464.3780,2423.3210,2435.2190,2435.6080,4712127500,47877407259.0000,-0.015968
7,2012-01-13,sh.000300,2438.4050,2445.7870,2374.5450,2394.3340,2435.2190,4551399700,47228338588.0000,-1.678905
8,2012-01-16,sh.000300,2376.9530,2394.4980,2345.6330,2345.6490,2394.3340,3052714500,34410385319.0000,-2.033345
9,2012-01-17,sh.000300,2347.5680,2462.4290,2329.2480,2460.6010,2345.6490,6420564800,64324131068.0000,4.900654
10,2012-01-18,sh.000300,2464.9200,2485.4980,2414.5270,2422.1890,2460.6010,6389235800,67058838880.0000,-1.561086
11,2012-01-19,sh.000300,2423.8570,2480.2060,2414.9850,2468.3500,2422.1890,5561572600,56377653304.0000,1.905761
12,2012-01-20,sh.000300,2476.7300,2510.3400,2462.5940,2504.0860,2468.3500,5452978300,57474475709.0000,1.447762
13,2012-01-30,sh.000300,2508.8770,2508.8770,2460.3960,2460.7200,2504.0860,4351714800,44770885276.0000,-1.731808
14,2012-01-31,sh.000300,2462.3380,2472.8390,2447.7680,2464.2600,2460.7200,3070150100,32694132107.0000,0.143862
15,2012-02-01,sh.000300,2458.2330,2481.6640,2423.4500,2428.9940,2464.2600,3501537400,37752320797.0000,-1.431104
16,2012-02-02,sh.000300,2437.4700,2486.2380,2429.7090,2486.2380,2428.9940,4206698500,44126383715.0000,2.356702
17,2012-02-03,sh.000300,2478.3360,2514.6450,2470.2800,2506.0900,2486.2380,4994924000,51507545973.0000,0.798477
18,2012-02-06,sh.000300,2511.1720,2520.7580,2488.7090,2504.3220,2506.0900,4507990500,47541523547.0000,-0.070551
19,2012-02-07,sh.000300,2489.0320,2489.0320,2441.6980,2457.9540,2504.3220,3967916400,40034277145.0000,-1.851516
20,2012-02-08,sh.000300,2456.4220,2534.1620,2450.9990,2528.2360,2457.9540,5618645600,61721305024.0000,2.859369
21,2012-02-09,sh.000300,2525.5890,2546.0250,2513.1310,2529.2310,2528.2360,5929975100,63456204565.0000,0.039350
22,2012-02-10,sh.000300,2521.6760,2560.0270,2521.1550,2533.6240,2529.2310,6157587700,60029482361.0000,0.173692
23,2012-02-13,sh.000300,2504.4100,2553.4460,2496.3050,2531.9810,2533.6240,5191397300,54282622440.0000,-0.064850
24,2012-02-14,sh.000300,2528.9670,2533.2640,2506.5370,2522.1070,2531.9810,4043010100,43723682304.0000,-0.389972
25,2012-02-15,sh.000300,2515.8290,2562.0710,2511.2890,2549.6070,2522.1070,5809037000,60422394145.0000,1.090358
26,2012-02-16,sh.000300,2544.6410,2559.3450,2519.0430,2536.0740,2549.6070,5439543100,55165633314.0000,-0.530786
27,2012-02-17,sh.000300,2551.8150,2558.3450,2522.8560,2537.0860,2536.0740,3899471600,40458003413.0000,0.039903
28,2012-02-20,sh.000300,2571.9070,2574.7460,2539.9040,2540.7060,2537.0860,5615332900,56748912893.0000,0.142688
29,2012-02-21,sh.000300,2544.8350,2562.9090,2520.7860,2562.4530,2540.7060,4789480800,47758225547.0000,0.855936
30,2012-02-22,sh.000300,2564.3150,2598.8630,2560.3430,2597.4760,2562.4530,7637665600,76421806874.0000,1.366784
31,2012-02-23,sh.000300,2595.7790,2614.5370,2590.5180,2606.2560,2597.4760,7037712600,72612089253.0000,0.338022
32,2012-02-24,sh.000300,2607.3390,2648.0170,2602.7760,2648.0170,2606.2560,8599970800,88058616716.0000,1.602336
33,2012-02-27,sh.000300,2658.1210,2693.8430,2656.5730,2656.5730,2648.0170,10151403400,106670207615.0000,0.323106
34,2012-02-28,sh.000300,2652.3420,2671.8330,2641.4590,2662.4630,2656.5730,7759253600,77213053038.0000,0.221710
35,2012-02-29,sh.000300,2655.8580,2666.6470,2631.7840,2634.1430,2662.4630,5912020600,64875221164.0000,-1.063670
36,2012-03-01,sh.000300,2622.7370,2647.7850,2621.8580,2633.3450,2634.1430,4214844100,46524079738.0000,-0.030298
37,2012-03-02,sh.000300,2637.9610,2679.9340,2637.9610,2679.9340,2633.3450,6412203400,66981591368.0000,1.769199
38,2012-03-05,sh.000300,2687.7400,2694.6120,2660.9550,2662.6980,2679.9340,7139545800,74973261138.0000,-0.643153
39,2012-03-06,sh.000300,2654.7990,2657.9630,2615.6000,2621.0520,2662.6980,6244714800,68852557821.0000,-1.564052
40,2012-03-07,sh.000300,2596.4790,2628.5850,2594.1280,2603.0050,2621.0520,5694873300,63243293004.0000,-0.688545
41,2012-03-08,sh.000300,2612.4030,2645.9530,2612.4030,2635.7910,2603.0050,5754941300,64458851045.0000,1.259549
42,2012-03-09,sh.000300,2644.1000,2664.4140,2631.4060,2664.3020,2635.7910,5525892100,65963441747.0000,1.081686
43,2012-03-12,sh.000300,2663.2430,2666.4320,2636.4230,2654.4020,2664.3020,6232721600,74367701978.0000,-0.371576
44,2012-03-13,sh.000300,2653.6810,2681.3340,2649.1690,2681.0730,2654.4020,5840446900,66429764308.0000,1.004780
45,2012-03-14,sh.000300,2694.4750,2705.7540,2595.3420,2605.1060,2681.0730,10842654000,117080408732.0000,-2.833457
