,基金代码,基金简称
0,000001,华夏成长混合
1,000002,华夏成长混合(后端)
2,000003,中海可转债债券A
3,000004,中海可转债债券C
4,000005,嘉实增强信用定期债券
5,000006,西部利得量化成长混合A
6,000008,嘉实中证500ETF联接A
7,000009,易方达天天理财货币A
8,000010,易方达天天理财货币B
9,000011,华夏大盘精选混合A
10,000012,华夏大盘精选混合A(后端)
11,000013,易方达天天理财货币R
12,000014,华夏聚利债券
13,000015,华夏纯债债券A
14,000016,华夏纯债债券C
15,000017,财通可持续混合
16,000020,景顺长城品质投资混合
17,000021,华夏优势增长混合
18,000024,大摩双利增强债券A
19,000025,大摩双利增强债券C
20,000028,华富安鑫债券
21,000029,富国宏观策略灵活配置混合A
22,000030,长城核心优选混合
23,000031,华夏复兴混合
24,000032,易方达信用债债券A
25,000033,易方达信用债债券C
26,000037,广发景宁债券A
27,000039,农银高增长混合
28,000041,华夏全球股票(QDII)
29,000042,财通中证ESG100指数增强A
30,000043,嘉实美国成长股票人民币
31,000044,嘉实美国成长股票美元现汇
32,000045,工银产业债债券A
33,000046,工银产业债债券B
34,000047,华夏双债债券A
35,000048,华夏双债债券C
36,000049,中银标普全球资源等权重指数
37,000051,华夏沪深300ETF联接A
38,000053,鹏华永诚一年定开债券
39,000054,鹏华双债增利债券
40,000055,广发纳斯达克100美元现汇A
41,000056,建信消费升级混合
42,000057,中银消费主题混合
43,000058,国联安安泰灵活配置混合
44,000059,国联安中证医药100A
45,000061,华夏盛世混合
46,000063,长盛电子信息主题灵活配置混合
47,000064,大摩18个月定开债
48,000065,国富焦点驱动混合
49,000066,诺安鸿鑫混合
50,000067,民生加银转债优选A
51,000068,民生加银转债优选C
52,000069,国投瑞银中高等级债券A
53,000070,国投瑞银中高等级债券C
54,000071,华夏恒生ETF联接A
55,000072,华安稳健回报混合
56,000073,上投摩根成长动力混合
57,000074,工银信用纯债一年定开债A
58,000075,华夏恒生ETF联接现汇
59,000076,华夏恒生ETF联接现钞
60,000077,工银信用纯债一年定开债C
61,000078,工银信用纯债三个月定开债A
62,000079,工银信用纯债三个月定开债C
63,000080,天治可转债增强债券A
64,000081,天治可转债增强债券C
65,000082,嘉实研究阿尔法股票
66,000083,汇添富消费行业混合
67,000084,博时安盈债券A
68,000085,博时安盈债券C
69,000086,南方稳利1年定开债A
70,000087,嘉实中证金边国债ETF联接A
71,000088,嘉实中证金边国债ETF联接C
72,000089,民生加银高等级信用债C
73,000090,民生加银高等级信用债A
74,000103,国泰中国企业境外高收益债
75,000104,华宸未来稳健添利债券A
76,000105,建信安心回报债券A
77,000106,建信安心回报债券C
78,000107,富国稳健增强债券A/B
79,000108,富国稳健增强债券A/B(后端)
80,000109,富国稳健增强债券C
81,000110,金鹰元安混合A
82,000111,易方达纯债1年定开债A
83,000112,易方达纯债1年定开债C
84,000113,嘉实如意宝定期债券A/B
85,000114,嘉实如意宝定期债券A/B(后端)
86,000115,嘉实如意宝定期债券C
87,000116,嘉实丰益纯债定期债券
88,000117,广发轮动配置混合
89,000118,广发聚鑫债券A
90,000119,广发聚鑫债券C
91,000120,中银美丽中国混合
92,000121,华夏永福混合A
93,000122,汇添富实业债债券A
94,000123,汇添富实业债债券C
95,000124,华宝服务优选混合
96,000126,招商安润混合
97,000127,农银行业领先混合
98,000128,大成景安短融债券A
99,000129,大成景安短融债券B
100,000130,大成景兴信用债债券A
101,000131,大成景兴信用债债券C
102,000134,中信保诚嘉鸿债券A
103,000135,中信保诚嘉鸿债券C
104,000136,民生加银策略精选混合A
105,000137,民生加银岁岁增利债券A
106,000138,民生加银岁岁增利债券C
107,000139,富国国有企业债债券A/B
108,000140,富国国有企业债债券A/B(后端)
109,000141,富国国有企业债债券C
110,000142,融通增强收益债券A
111,000143,鹏华双债加利债券A
112,000147,易方达高等级信用债债券A
113,000148,易方达高等级信用债债券C
114,000149,华安双债添利债券A
115,000150,华安双债添利债券C
116,000152,大成景旭纯债债券A
117,000153,大成景旭纯债债券C
118,000154,富国沪深300指数增强A(后端)
119,000155,富国通胀通缩主题轮动混合(后端)
