,代码,名称
0,sh000001,上证指数
1,sh000002,Ａ股指数
2,sh000003,Ｂ股指数
3,sh000004,工业指数
4,sh000005,商业指数
5,sh000006,地产指数
6,sh000007,公用指数
7,sh000008,综合指数
8,sh000009,上证380
9,sh000010,上证180
10,sh000011,基金指数
11,sh000012,国债指数
12,sh000013,企债指数
13,sh000015,红利指数
14,sh000016,上证50
15,sh000017,新综指
16,sh000018,180金融
17,sh000019,治理指数
18,sh000020,中型综指
19,sh000021,180治理
20,sh000022,沪公司债
21,sh000025,180基建
22,sh000026,180资源
23,sh000027,180运输
24,sh000028,180成长
25,sh000029,180价值
26,sh000030,180R成长
27,sh000031,180R价值
28,sh000032,上证能源
29,sh000033,上证材料
30,sh000034,上证工业
31,sh000035,上证可选
32,sh000036,上证消费
33,sh000037,上证医药
34,sh000038,上证金融
35,sh000039,上证信息
36,sh000040,上证电信
37,sh000041,上证公用
38,sh000042,上证央企
39,sh000043,超大盘
40,sh000044,上证中盘
41,sh000045,上证小盘
42,sh000046,上证中小
43,sh000047,上证全指
44,sh000048,责任指数
45,sh000049,上证民企
46,sh000050,50等权
47,sh000051,180等权
48,sh000052,50基本
49,sh000053,180基本
50,sh000054,上证海外
51,sh000055,上证地企
52,sh000056,上证国企
53,sh000057,全指成长
54,sh000058,全指价值
55,sh000059,全R成长
56,sh000060,全R价值
57,sh000061,沪企债30
58,sh000062,上证沪企
59,sh000063,上证周期
60,sh000064,非周期
61,sh000065,上证龙头
62,sh000066,上证商品
63,sh000067,上证新兴
64,sh000068,上证资源
65,sh000069,消费80
66,sh000070,能源等权
67,sh000071,材料等权
68,sh000072,工业等权
69,sh000073,可选等权
70,sh000074,消费等权
71,sh000075,医药等权
72,sh000076,金融等权
73,sh000077,信息等权
74,sh000078,电信等权
75,sh000079,公用等权
76,sh000090,上证流通
77,sh000091,沪财中小
78,sh000092,资源50
79,sh000093,180分层
80,sh000094,上证上游
81,sh000095,上证中游
82,sh000096,上证下游
83,sh000097,高端装备
84,sh000098,上证F200
85,sh000099,上证F300
86,sh000100,上证F500
87,sh000101,5年信用
88,sh000102,沪投资品
89,sh000103,沪消费品
90,sh000104,380能源
91,sh000105,380材料
92,sh000106,380工业
93,sh000107,380可选
94,sh000108,380消费
95,sh000109,380医药
96,sh000110,380金融
97,sh000111,380信息
98,sh000112,380电信
99,sh000113,380公用
100,sh000114,持续产业
101,sh000115,380等权
102,sh000116,信用100
103,sh000117,380成长
104,sh000118,380价值
105,sh000119,380R成长
106,sh000120,380R价值
107,sh000121,医药主题
108,sh000122,农业主题
109,sh000123,180动态
