,代码,名称
0,688800,N瑞可达
1,301030,N仕净
2,301032,N新柴
3,688303,N大全能
4,300821,东岳硅材
5,300393,中来股份
6,688090,瑞松科技
7,300827,上能电气
8,688551,科威尔
9,688001,华兴源创
10,300631,久吾高科
11,300432,富临精工
12,300346,南大光电
13,300458,全志科技
14,688595,芯海科技
15,300241,瑞丰光电
16,300763,锦浪科技
17,300211,亿通科技
18,300813,泰林生物
19,688012,中微公司
20,300054,鼎龙股份
21,300569,天能重工
22,688398,赛特新材
23,300919,中伟股份
24,688199,久日新材
25,688037,芯源微
26,300660,江苏雷利
27,300323,华灿光电
28,688390,固德威
29,300236,上海新阳
30,300328,宜安科技
31,300566,激智科技
32,688300,联瑞新材
33,688268,华特气体
34,300428,立中集团
35,300538,同益股份
36,300217,东方电热
37,300681,英搏尔
38,300588,熙菱信息
39,300567,精测电子
40,300693,盛弘股份
41,300655,晶瑞股份
42,300455,康拓红外
43,300727,润禾材料
44,300833,浩洋股份
45,688689,银河微电
46,688383,新益昌
47,688518,联赢激光
48,300879,大叶股份
49,603077,和邦生物
50,002141,贤丰控股
51,600010,包钢股份
52,002224,三 力 士
53,603111,康尼机电
54,002309,中利集团
55,002514,宝馨科技
56,000959,首钢股份
57,002140,东华科技
58,600984,建设机械
59,603667,五洲新春
60,600596,新安股份
61,600367,红星发展
62,603688,石英股份
63,002843,泰嘉股份
64,600703,三安光电
65,002407,多氟多
66,603822,嘉澳环保
67,000009,中国宝安
68,600338,西藏珠峰
69,605365,立达信
70,603090,宏盛股份
71,603938,三孚股份
72,603260,合盛硅业
73,603650,彤程新材
74,603893,瑞芯微
75,003038,鑫铂股份
76,605117,德业股份
77,600510,黑牡丹
78,600114,东睦股份
79,002518,科士达
80,002453,华软科技
81,000825,太钢不锈
82,002192,融捷股份
83,000762,西藏矿业
84,605020,永和股份
85,002897,意华股份
86,600918,中泰证券
87,002176,江特电机
88,605056,咸亨国际
89,002455,百川股份
90,600808,马钢股份
91,605366,宏柏新材
92,000159,国际实业
93,002092,中泰化学
94,600428,中远海特
95,600151,航天机电
96,688177,百奥泰-U
97,000572,海马汽车
98,600346,恒力石化
99,600219,南山铝业
100,688099,晶晨股份
101,300303,聚飞光电
102,300522,世名科技
103,300637,扬帆新材
104,688599,天合光能
105,688063,派能科技
106,300587,天铁股份
107,300480,光力科技
108,688699,明微电子
109,600552,凯盛科技
110,300748,金力永磁
111,002533,金杯电工
112,002919,名臣健康
113,002449,国星光电
114,300576,容大感光
115,300811,铂科新材
116,300102,乾照光电
117,688181,八亿时空
118,300786,国林科技
119,000988,华工科技
120,002841,视源股份
121,300806,斯迪克
122,688521,芯原股份-U
123,300706,阿石创
124,688613,奥精医疗
125,600216,浙江医药
126,002545,东方铁塔
127,300319,麦捷科技
128,002341,新纶科技
129,688789,宏华数科
130,300790,宇瞳光学
131,300816,艾可蓝
132,300796,贝斯美
133,002371,北方华创
134,000430,张家界
135,603315,福鞍股份
136,002743,富煌钢构
137,000301,东方盛虹
138,002249,大洋电机
139,603906,龙蟠科技
140,002459,晶澳科技
141,300198,纳川股份
142,301011,华立科技
143,688668,鼎通科技
144,300708,聚灿光电
145,600782,新钢股份
146,601005,重庆钢铁
147,000629,攀钢钒钛
148,600478,科力远
149,603855,华荣股份
150,688126,沪硅产业-U
151,603669,灵康药业
152,600537,亿晶光电
153,000630,铜陵有色
154,300490,华自科技
155,002460,赣锋锂业
156,300623,捷捷微电
157,300661,圣邦股份
158,300843,胜蓝股份
159,002182,云海金属
160,002466,天齐锂业
161,300848,美瑞新材
162,002326,永太科技
163,600210,XD紫江企
164,300619,金银河
165,300429,强力新材
166,002320,海峡股份
167,300891,惠云钛业
168,002119,康强电子
169,300019,硅宝科技
170,300208,青岛中程
171,300721,怡达股份
172,002045,国光电器
173,600031,三一重工
174,002335,科华数据
175,300305,裕兴股份
176,002213,大为股份
177,002429,兆驰股份
178,605377,华旺科技
179,002139,拓邦股份
180,300612,宣亚国际
181,601126,四方股份
182,002506,协鑫集成
183,300325,*ST德威
184,603098,森特股份
185,300772,运达股份
186,000902,新洋丰
187,688006,杭可科技
188,300960,通业科技
189,000830,鲁西化工
190,688019,安集科技
191,002795,永和智控
192,603333,尚纬股份
193,000811,冰轮环境
194,688138,清溢光电
195,300258,精锻科技
196,300235,方直科技
197,688560,明冠新材
198,688277,天智航-U
199,688661,和林微纳
200,000822,山东海化
